,Beta
NVDA,5.1372646691325805
CEG,3.947824301435933
SMCI,3.488624170250929
MU,3.451434191981935
APH,2.9608573964460434
CDNS,2.8250036762103927
TSLA,2.5800000190943164
GLW,2.527272999142108
AMD,2.212822628574761
STX,2.1017536364564418
DECK,2.0952335780863485
EQT,2.0071297330016806
IVZ,1.8018363799420845
AMAT,1.781324499889558
GOOG,1.7419187254853792
RL,1.6862488757549616
KLAC,1.5792999761147393
TT,1.5649872049211697
DLR,1.5486221766778825
HUBB,1.5461021855293142
