,Beta
STZ,-0.5448214956579122
PGR,-0.5586479864749917
HOLX,-0.59054521162627
MNST,-0.598394263128824
LW,-0.6065385923230995
CPT,-0.6116348882261636
IDXX,-0.6767135689324214
KMB,-0.682706381395233
AJG,-0.69023466703844
PEP,-0.7283546521190242
HII,-0.7396166155105764
CBOE,-0.7404157583447679
AEP,-0.7470134616920003
MKC,-0.7992194974907024
SBAC,-0.8409695953923741
CLX,-0.8456835172019234
CAG,-0.8886181502158357
FE,-0.9967046242580742
ERIE,-1.0221273224037941
EXPE,-1.2894237060501441
